,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",gym,ChIJ4S9oyC9-j4ARtZ2_aMrFziE,24 Hour Fitness,"['gym', 'health', 'point_of_interest', 'establishment']","1645 Bryant Street, San Francisco",37.766513,-122.4102957
1,"San Francisco, California",gym,ChIJYR3cR92GhYAReMwzpHwVcI8,Planet Granite San Francisco,"['gym', 'health', 'point_of_interest', 'establishment']","924 Mason Street, San Francisco",37.8041834,-122.4680738
2,"San Francisco, California",gym,ChIJ41jg5xR-j4ARbMPPFtrBVL0,24 Hour Fitness,"['gym', 'health', 'point_of_interest', 'establishment']","3800 24th Street #2, San Francisco",37.7518678,-122.4277682
3,"San Francisco, California",gym,ChIJZV5ky5WAhYAR5R8000ysu9c,24 Hour Fitness,"['gym', 'health', 'point_of_interest', 'establishment']","1200 Van Ness Avenue, San Francisco",37.7867894,-122.4213437
4,"San Francisco, California",gym,ChIJi_z_a6KAhYARHyEzLOKy6xQ,Yoga Tree Hayes,"['gym', 'health', 'school', 'point_of_interest', 'establishment']","519 Hayes Street, San Francisco",37.776507,-122.425014
5,"San Francisco, California",gym,ChIJTfLGi5aAhYARxz-WxDeTg-s,Studiomix,"['gym', 'health', 'point_of_interest', 'establishment']","1000 Van Ness Avenue, San Francisco",37.7849743,-122.4210279
6,"San Francisco, California",gym,ChIJIfsvpGKAhYARPh_Br75kRVA,Crunch Fitness - New Montgomery,"['gym', 'health', 'point_of_interest', 'establishment']","61 New Montgomery Street, San Francisco",37.7880708,-122.4010473
7,"San Francisco, California",gym,ChIJx6UCcmGAhYARhxgrU26yWXs,24 Hour Fitness,"['gym', 'health', 'point_of_interest', 'establishment']","100 California Street #200, San Francisco",37.793949,-122.398062
8,"San Francisco, California",gym,ChIJVemsgR5-j4AR2XqwXA2NOq0,24 Hour Fitness,"['gym', 'health', 'point_of_interest', 'establishment']","2145 Market Street, San Francisco",37.7666737,-122.4296664
9,"San Francisco, California",gym,ChIJ6dh9yAR-j4ARiKzSbMDrhDw,Yoga Tree Castro,"['gym', 'health', 'point_of_interest', 'establishment']","97 Collingwood Street, San Francisco",37.76105099999999,-122.436003
