,City,Type,Place ID,Name,Point of interests,Address,Lat,Lng
0,"San Francisco, California",church,ChIJl3ZcoouAhYAR1DI821H-LUw,Old St Mary's Cathedral,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","660 California Street, San Francisco",37.79263540000001,-122.4057717
1,"San Francisco, California",church,ChIJ3a5_x4eAhYARmsK55GzNpIg,St. Patrick's Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","756 Mission Street, San Francisco",37.7855696,-122.4035365
2,"San Francisco, California",church,ChIJg2Kun5KAhYARg0g3AF1jbQQ,Grace Cathedral,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1100 California Street, San Francisco",37.7919185,-122.4130261
3,"San Francisco, California",church,ChIJQ88I4ceAhYARHGUWwHuhJz8,St. Dominic's Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","2390 Bush Street, San Francisco",37.7870658,-122.4353729
4,"San Francisco, California",church,ChIJDYAIUkmHhYAR6p7uXiF66rc,St. Ignatius Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","650 Parker Avenue, San Francisco",37.7754799,-122.4524768
5,"San Francisco, California",church,ChIJWTVj7i5_j4ARrgNMmrf5qXQ,Cornerstone Church - Mission Campus,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","3459 17th Street, San Francisco",37.7631065,-122.4229192
6,"San Francisco, California",church,ChIJY2eH8L2AhYARx7eYYhTWTKU,Cathedral Of Saint Mary Of The Assumption,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1111 Gough Street, San Francisco",37.7842365,-122.4252243
7,"San Francisco, California",church,ChIJgyxx6Y-AhYARxePDEkX8ufc,Glide Memorial United Methodist Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","330 Ellis Street, San Francisco",37.785154,-122.4114072
8,"San Francisco, California",church,ChIJMUrkGEyHhYARDiTFkghvVFI,TEAMS/AmeriCorps Fellowship Program,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","2130 Fulton Street, San Francisco",37.7757012,-122.4510197
9,"San Francisco, California",church,ChIJR72bU_CAhYAR7Kzo-OE5GyQ,Saints Peter and Paul Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","666 Filbert Street, San Francisco",37.8015353,-122.4101955
10,"San Francisco, California",church,ChIJwYTMCWl-j4ARBkTr9qgdpVs,St Paul's Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","221 Valley Street, San Francisco",37.7442106,-122.4272742
11,"San Francisco, California",church,ChIJ-UINk0B-j4AREtZQOk43i9A,Bethel Christian Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1325 Valencia Street, San Francisco",37.7518512,-122.4204354
12,"San Francisco, California",church,ChIJbZ0jBN-AhYARrOFF1LQA27A,Golden City Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","754 14th Street, San Francisco",37.76787289999999,-122.4302646
13,"San Francisco, California",church,ChIJQ_Jlw8KAhYARbQxqKSDYNbU,St. Mark's Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1111 O'Farrell Street, San Francisco",37.78429120000001,-122.4235135
14,"San Francisco, California",church,ChIJkcXPB5aAhYARXlI488U7rOo,First Unitarian Universalist Church & Center,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1187 Franklin Street, San Francisco",37.7853466,-122.4231664
15,"San Francisco, California",church,ChIJZZAn-MmAhYARfMzggiyt-Kk,City Church Of San Francisco,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","2460 Sutter Street, San Francisco",37.7852322,-122.4408913
16,"San Francisco, California",church,ChIJ1TMF0j9-j4ARLDJKycMmcFM,St James Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","Guerrero St & 23rd St, San Francisco",37.75374989999999,-122.4232114
17,"San Francisco, California",church,ChIJKUeAlDqHhYARI9c75e0Gows,Congregation Emanu-El San Francisco,"['synagogue', 'church', 'place_of_worship', 'school', 'point_of_interest', 'establishment']","2 Lake Street, San Francisco",37.787374,-122.4596944
18,"San Francisco, California",church,ChIJYfrt_IuAhYARRnnLGtSftFU,Notre Dame Des Victoires Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","566 Bush Street, San Francisco",37.7905746,-122.4064785
19,"San Francisco, California",church,ChIJtTEOxOqAhYARYIyl0qXGIls,Old First Presbyterian Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1751 Sacramento Street, San Francisco",37.79120149999999,-122.4220705
20,"San Francisco, California",church,ChIJl3ZcoouAhYAR1DI821H-LUw,Old St Mary's Cathedral,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","660 California Street, San Francisco",37.79263540000001,-122.4057717
21,"San Francisco, California",church,ChIJ3a5_x4eAhYARmsK55GzNpIg,St. Patrick's Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","756 Mission Street, San Francisco",37.7855696,-122.4035365
22,"San Francisco, California",church,ChIJg2Kun5KAhYARg0g3AF1jbQQ,Grace Cathedral,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1100 California Street, San Francisco",37.7919185,-122.4130261
23,"San Francisco, California",church,ChIJQ88I4ceAhYARHGUWwHuhJz8,St. Dominic's Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","2390 Bush Street, San Francisco",37.7870658,-122.4353729
24,"San Francisco, California",church,ChIJDYAIUkmHhYAR6p7uXiF66rc,St. Ignatius Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","650 Parker Avenue, San Francisco",37.7754799,-122.4524768
25,"San Francisco, California",church,ChIJWTVj7i5_j4ARrgNMmrf5qXQ,Cornerstone Church - Mission Campus,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","3459 17th Street, San Francisco",37.7631065,-122.4229192
26,"San Francisco, California",church,ChIJY2eH8L2AhYARx7eYYhTWTKU,Cathedral Of Saint Mary Of The Assumption,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1111 Gough Street, San Francisco",37.7842365,-122.4252243
27,"San Francisco, California",church,ChIJgyxx6Y-AhYARxePDEkX8ufc,Glide Memorial United Methodist Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","330 Ellis Street, San Francisco",37.785154,-122.4114072
28,"San Francisco, California",church,ChIJMUrkGEyHhYARDiTFkghvVFI,TEAMS/AmeriCorps Fellowship Program,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","2130 Fulton Street, San Francisco",37.7757012,-122.4510197
29,"San Francisco, California",church,ChIJR72bU_CAhYAR7Kzo-OE5GyQ,Saints Peter and Paul Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","666 Filbert Street, San Francisco",37.8015353,-122.4101955
30,"San Francisco, California",church,ChIJwYTMCWl-j4ARBkTr9qgdpVs,St Paul's Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","221 Valley Street, San Francisco",37.7442106,-122.4272742
31,"San Francisco, California",church,ChIJ-UINk0B-j4AREtZQOk43i9A,Bethel Christian Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1325 Valencia Street, San Francisco",37.7518512,-122.4204354
32,"San Francisco, California",church,ChIJbZ0jBN-AhYARrOFF1LQA27A,Golden City Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","754 14th Street, San Francisco",37.76787289999999,-122.4302646
33,"San Francisco, California",church,ChIJQ_Jlw8KAhYARbQxqKSDYNbU,St. Mark's Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1111 O'Farrell Street, San Francisco",37.78429120000001,-122.4235135
34,"San Francisco, California",church,ChIJkcXPB5aAhYARXlI488U7rOo,First Unitarian Universalist Church & Center,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1187 Franklin Street, San Francisco",37.7853466,-122.4231664
35,"San Francisco, California",church,ChIJZZAn-MmAhYARfMzggiyt-Kk,City Church Of San Francisco,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","2460 Sutter Street, San Francisco",37.7852322,-122.4408913
36,"San Francisco, California",church,ChIJ1TMF0j9-j4ARLDJKycMmcFM,St James Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","Guerrero St & 23rd St, San Francisco",37.75374989999999,-122.4232114
37,"San Francisco, California",church,ChIJKUeAlDqHhYARI9c75e0Gows,Congregation Emanu-El San Francisco,"['synagogue', 'church', 'place_of_worship', 'school', 'point_of_interest', 'establishment']","2 Lake Street, San Francisco",37.787374,-122.4596944
38,"San Francisco, California",church,ChIJYfrt_IuAhYARRnnLGtSftFU,Notre Dame Des Victoires Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","566 Bush Street, San Francisco",37.7905746,-122.4064785
39,"San Francisco, California",church,ChIJtTEOxOqAhYARYIyl0qXGIls,Old First Presbyterian Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1751 Sacramento Street, San Francisco",37.79120149999999,-122.4220705
40,"San Francisco, California",church,ChIJl3ZcoouAhYAR1DI821H-LUw,Old St Mary's Cathedral,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","660 California Street, San Francisco",37.79263540000001,-122.4057717
41,"San Francisco, California",church,ChIJ3a5_x4eAhYARmsK55GzNpIg,St. Patrick's Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","756 Mission Street, San Francisco",37.7855696,-122.4035365
42,"San Francisco, California",church,ChIJg2Kun5KAhYARg0g3AF1jbQQ,Grace Cathedral,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1100 California Street, San Francisco",37.7919185,-122.4130261
43,"San Francisco, California",church,ChIJQ88I4ceAhYARHGUWwHuhJz8,St. Dominic's Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","2390 Bush Street, San Francisco",37.7870658,-122.4353729
44,"San Francisco, California",church,ChIJDYAIUkmHhYAR6p7uXiF66rc,St. Ignatius Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","650 Parker Avenue, San Francisco",37.7754799,-122.4524768
45,"San Francisco, California",church,ChIJWTVj7i5_j4ARrgNMmrf5qXQ,Cornerstone Church - Mission Campus,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","3459 17th Street, San Francisco",37.7631065,-122.4229192
46,"San Francisco, California",church,ChIJY2eH8L2AhYARx7eYYhTWTKU,Cathedral Of Saint Mary Of The Assumption,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1111 Gough Street, San Francisco",37.7842365,-122.4252243
47,"San Francisco, California",church,ChIJgyxx6Y-AhYARxePDEkX8ufc,Glide Memorial United Methodist Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","330 Ellis Street, San Francisco",37.785154,-122.4114072
48,"San Francisco, California",church,ChIJMUrkGEyHhYARDiTFkghvVFI,TEAMS/AmeriCorps Fellowship Program,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","2130 Fulton Street, San Francisco",37.7757012,-122.4510197
49,"San Francisco, California",church,ChIJR72bU_CAhYAR7Kzo-OE5GyQ,Saints Peter and Paul Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","666 Filbert Street, San Francisco",37.8015353,-122.4101955
50,"San Francisco, California",church,ChIJwYTMCWl-j4ARBkTr9qgdpVs,St Paul's Catholic Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","221 Valley Street, San Francisco",37.7442106,-122.4272742
51,"San Francisco, California",church,ChIJ-UINk0B-j4AREtZQOk43i9A,Bethel Christian Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1325 Valencia Street, San Francisco",37.7518512,-122.4204354
52,"San Francisco, California",church,ChIJbZ0jBN-AhYARrOFF1LQA27A,Golden City Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","754 14th Street, San Francisco",37.76787289999999,-122.4302646
53,"San Francisco, California",church,ChIJQ_Jlw8KAhYARbQxqKSDYNbU,St. Mark's Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1111 O'Farrell Street, San Francisco",37.78429120000001,-122.4235135
54,"San Francisco, California",church,ChIJkcXPB5aAhYARXlI488U7rOo,First Unitarian Universalist Church & Center,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","1187 Franklin Street, San Francisco",37.7853466,-122.4231664
55,"San Francisco, California",church,ChIJZZAn-MmAhYARfMzggiyt-Kk,City Church Of San Francisco,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","2460 Sutter Street, San Francisco",37.7852322,-122.4408913
